

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2026-05-18T03:35:50PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|WISEA J125256.72+284843.4|193.23636 |  28.81208 |G|  6181| 0.020616 |SLS |17.9g|  0.000|19|0|38|13|10|4|0
2|KUG 1250+269|193.24596 |  26.72037 |G|  8135| 0.027134 |SLS |16.8g|  0.000|33|1|44|19|14|6|0
3|SDSS J125302.25+271203.2|193.25939 |  27.20091 |G|  8164| 0.027231 |SLS |19.6g|  0.000|0|0|19|3|1|4|0
4|2MASXi J1253031+262836|193.26311 |  26.47655 |G|  7696| 0.025671 |SLS |16.2g|  0.000|23|0|30|12|8|4|0
5|SDSS J125303.31+281639.9|193.26390 |  28.27770 |G|  9690| 0.032321 |SLS |21.5g|  0.000|0|0|19|3|1|4|0
6|WISEA J125304.04+272752.3|193.26687 |  27.46455 |G|  6859| 0.022879 |SLS |19.44|  0.000|18|0|29|11|7|4|0
7|WISEA J125305.42+280354.4|193.27263 |  28.06516 |G|  7697| 0.025675 |SLS |18.7g|  0.000|0|0|31|4|1|4|0
8|2MASX J12530591+2923431|193.27455 |  29.39535 |G| 13589| 0.045329 |PUN |     |  0.000|1|0|9|2|1|2|2
9|WISEA J125307.54+281427.8|193.28142 |  28.24108 |G|  7032| 0.023455 |SLS |17.90|  0.000|21|0|35|13|10|4|0
10|WISEA J125307.56+270217.4|193.28154 |  27.03817 |G|  7637| 0.025473 |SLS |16.2g|  0.000|26|0|50|20|13|6|0
11|WISEA J125311.53+275015.9|193.29806 |  27.83775 |G|  6932| 0.023121 |SLS |18.4g|  0.000|16|0|14|8|6|0|0
12|WISEA J125312.51+271923.3|193.30214 |  27.32314 |G|  6634| 0.022129 |SLS |15.9g|  0.000|22|0|48|14|8|6|0
13|WISEA J125312.61+280014.2|193.30249 |  28.00397 |G|  6048| 0.020173 |SLS |18.3g|  0.000|15|0|33|9|6|4|0
14|WISEA J125312.61+264942.3|193.30257 |  26.82844 |G| 17614| 0.058753 |SLS |17.9g|  0.000|15|0|28|10|6|0|0
15|SDSS J125315.13+274112.1|193.31304 |  27.68671 |G|  7316| 0.024404 |UUN |21.0g|  0.000|8|0|15|9|1|4|0
16|CGCG 159-104|193.31708 |  27.09442 |G|  6158| 0.020541 |SLS |14.83|  0.000|68|0|64|21|13|10|0
17|SDSS J125316.50+272021.2|193.31876 |  27.33921 |G|  6875| 0.022933 |SLS |19.4g|  0.000|0|0|15|2|1|4|0
18|LCSB S1791P|193.32722 |  28.21106 |G|  6151| 0.020518 |SLS |16.2g|  0.000|28|0|33|14|11|6|0
19|SDSS J125319.05+273608.5|193.32933 |  27.60234 |G|  6193| 0.020658 |SLS |19.6g|  0.000|0|0|15|2|1|4|0
20|WISEA J125321.92+280225.6|193.34139 |  28.04047 |G|  9961| 0.033226 |SLS |19.60|  0.000|1|0|18|4|1|0|0
21|FGC 1514|193.34158 |  26.77258 |G| 17608| 0.058735 |SLS |16.7g|  0.000|24|0|52|16|11|6|0
22|WISEA J125323.09+275508.8|193.34619 |  27.91908 |G|  8372| 0.027926 |SLS |19.69|  0.000|1|0|29|4|1|4|0
23|WISEA J125323.10+270200.4|193.34627 |  27.03347 |G|  7033| 0.023460 |SLS |16.6g|  0.000|31|0|49|23|16|6|0
24|WISEA J125323.46+273047.1|193.34777 |  27.51309 |G|  7140| 0.023816 |SLS |18.5g|  0.000|11|0|12|7|6|0|0
25|WISEA J125324.27+270619.4|193.35120 |  27.10545 |G|  7207| 0.024039 |SLS |19.2g|  0.000|0|0|27|3|1|4|0
26|WISEA J125324.81+263105.8|193.35338 |  26.51828 |G| 17896| 0.059694 |SLS |17.8g|  0.000|11|0|42|8|6|4|0
27|SDSS J125326.32+272854.4|193.35965 |  27.48173 |G| 17480| 0.058306 |SLS |21.2g|  0.000|0|0|19|3|1|4|0
28|SDSS J125328.50+275621.8|193.36882 |  27.93941 |G|  6609| 0.022045 |SLS |20.1g|  0.000|0|0|15|2|1|4|0
29|WISEA J125329.07+262938.7|193.37121 |  26.49416 |G|  6248| 0.020841 |SLS |18.8g|  0.000|0|0|35|5|1|4|0
30|SDSS J125329.20+283047.5|193.37183 |  28.51327 |G| 17191| 0.057343 |SLS |21.4g|  0.000|0|0|19|3|1|4|0
31|SDSS J125329.66+290824.9|193.37350 |  29.14033 |G| 12229| 0.040792 |SLS?|21.9g|  0.000|0|0|15|2|1|4|0
32|WISEA J125330.31+285615.5|193.37609 |  28.93755 |G|  9835| 0.032807 |SLS |19.45|  0.000|1|0|37|6|1|4|0
33|WISEA J125330.28+274030.7|193.37618 |  27.67521 |G|  5946| 0.019835 |SLS |16.8g|  0.000|30|0|44|21|16|6|0
34|WISEA J125331.11+272748.1|193.37965 |  27.46338 |G|  8550| 0.028521 |SLS |19.55|  0.000|16|0|29|9|5|4|0
35|SDSS J125332.49+272001.3|193.38539 |  27.33374 |G|  9963| 0.033233 |SLS |21.3g|  0.000|0|0|19|3|1|4|0
36|SDSS J125332.64+275011.5|193.38599 |  27.83654 |G|  4984| 0.016624 |SLS |20.5g|  0.000|0|0|15|2|1|4|0
37|WISEA J125333.88+282529.5|193.39137 |  28.42493 |G|  4795| 0.015993 |SLS |18.1g|  0.000|2|0|28|4|2|4|1
38|SDSS J125334.08+282300.8|193.39192 |  28.38375 |G|  6947| 0.023173 |SLS |19.6g|  0.000|0|0|19|3|1|4|0
39|SDSS J125335.26+284239.7|193.39697 |  28.71105 |G|  9902| 0.033031 |SLS |20.8g|  0.000|0|0|19|3|1|4|0
40|WISEA J125335.55+274531.4|193.39816 |  27.75874 |G|  7480| 0.024951 |SLS |16.2g|  0.000|25|0|44|14|11|6|0
41|WISEA J125337.39+273654.5|193.40580 |  27.61515 |G|  7074| 0.023596 |SLS |16.08|  0.000|7|0|44|9|6|6|0
42|WISEA J125337.87+274703.4|193.40781 |  27.78429 |G|  5122| 0.017084 |SLS |14.21|  0.000|40|0|45|18|15|6|0
43|WISEA J125338.12+283756.3|193.40886 |  28.63231 |G|  7260| 0.024217 |SLS |19.7g|  0.000|0|0|27|3|1|4|0
44|SDSS J125338.62+274712.1|193.41092 |  27.78672 |G|  5012| 0.016717 |SLS |18.6g|  0.000|0|0|15|2|1|4|0
45|WISEA J125338.98+274438.9|193.41208 |  27.74426 |G|  7757| 0.025876 |SLS |19.74|  0.000|0|0|12|3|1|0|0
46|WISEA J125338.97+282645.4|193.41228 |  28.44596 |G|  6881| 0.022954 |SLS |18.6g|  0.000|1|0|31|5|1|4|0
47|SDSS J125339.29+262832.7|193.41372 |  26.47576 |G|  6231| 0.020786 |SLS |19.7g|  0.000|0|0|23|4|1|4|0
48|WISEA J125344.07+274651.0|193.43365 |  27.78085 |G|  6649| 0.022179 |SLS |17.66|  0.000|26|0|35|15|9|4|0
49|SDSS J125344.16+272655.7|193.43402 |  27.44885 |G|  7282| 0.024289 |SLS |20.3g|  0.000|0|0|15|2|1|4|0
50|WISEA J125344.43+274917.0|193.43514 |  27.82141 |G|  4920| 0.016412 |SLS |18.41|  0.000|17|0|30|11|7|4|0
51|WISEA J125344.89+271829.2|193.43700 |  27.30814 |G| 17406| 0.058059 |SLS |18.91|  0.000|2|0|33|6|1|4|0
52|KUG 1251+275|193.43950 |  27.24965 |G|  6892| 0.022989 |SLS |17.0g|  0.000|33|0|23|19|16|4|0
53|WISEA J125346.30+272155.5|193.44277 |  27.36538 |G|  5279| 0.017608 |SLS |19.06|  0.000|2|0|33|6|1|4|0
54|2MASX J12534657+2723099|193.44425 |  27.38585 |G|  8293| 0.027662 |SLS |17.73|  0.000|35|0|37|23|16|6|0
55|KUG 1251+277A|193.44507 |  27.48745 |G|  5086| 0.016965 |SLS |17.6g|  0.000|20|0|36|13|9|4|1
56|WISEA J125347.47+281542.9|193.44769 |  28.26176 |G| 17106| 0.057059 |SLS |18.92|  0.000|2|0|18|5|1|0|0
57|SMDG J1253489+273934|193.45375 |  27.65944 |G|  6839| 0.022812 |SUN |     |  0.000|6|0|0|6|1|0|0
58|WISEA J125349.16+285633.3|193.45487 |  28.94259 |G|  7086| 0.023638 |SLS |16.9g|  0.000|32|1|50|18|16|2|0
59|WISEA J125349.32+263154.1|193.45557 |  26.53179 |G| 13510| 0.045064 |SLS |19.8g|  0.000|0|0|35|5|1|4|0
60|KUG 1251+292|193.46457 |  28.97947 |G|  7943| 0.026495 |SLS |15.5g|  0.000|74|0|89|29|21|10|0
61|SDSS J125353.39+272238.6|193.47246 |  27.37744 |G|  7485| 0.024966 |SLS |20.6g|  0.000|0|0|19|3|1|4|0
62|WISEA J125353.74+264102.8|193.47395 |  26.68413 |G|  5358| 0.017872 |SLS |18.3g|  0.000|12|0|29|8|4|4|0
63|KUG 1251+284|193.47470 |  28.18660 |G|  7689| 0.025649 |SLS |16.0g|  0.000|18|0|43|8|7|8|0
64|WISEA J125353.94+281112.3|193.47475 |  28.18675 |G|  7685| 0.025634 |SLS |15.9g|  0.000|17|0|34|17|11|4|0
65|WISEA J125354.10+292144.5|193.47544 |  29.36236 |G| 16940| 0.056505 |SLS |18.44|  0.000|15|0|46|7|7|6|0
66|WISEA J125354.20+265758.8|193.47584 |  26.96636 |G|  6184| 0.020628 |SLS |15.9g|  0.000|33|0|48|24|18|6|0
67|WISEA J125355.38+282337.9|193.48077 |  28.39385 |G|  7400| 0.024683 |SLS |17.3g|  0.000|25|0|33|18|12|4|0
68|WISEA J125356.73+280201.4|193.48639 |  28.03374 |G| 17100| 0.057038 |SLS |18.0g|  0.000|16|0|34|8|6|4|0
69|IC 0832|193.49627 |  26.44404 |G|  7076| 0.023603 |SLS |14.9 |  0.000|88|0|83|29|21|7|0
70|WISEA J125400.46+270039.3|193.50186 |  27.01086 |G|  6716| 0.022402 |SLS |19.90|  0.000|1|0|31|5|1|4|0
71|WISEA J125402.43+284323.2|193.51018 |  28.72297 |G| 13149| 0.043862 |SLS |17.8g|  0.000|14|0|56|9|5|8|0
72|WISEA J125404.01+273151.2|193.51661 |  27.53074 |G|  7581| 0.025288 |SLS?|20.58|  0.000|2|0|27|4|1|4|0
73|NGC 4787|193.52298 |  27.06871 |G|  7558| 0.025211 |SLS |15.0g|  0.000|84|1|61|34|24|11|0
74|WISEA J125405.56+281357.8|193.52320 |  28.23279 |G|  7269| 0.024247 |SLS |19.80|  0.000|1|0|31|5|1|4|0
75|WISEA J125405.97+270108.0|193.52491 |  27.01891 |G|  8516| 0.028405 |SLS |17.2g|  0.000|20|0|50|14|8|6|0
76|WISEA J125406.36+291433.7|193.52651 |  29.24271 |G|  7376| 0.024604 |SLS |16.9g|  0.000|31|0|63|22|13|8|0
77|SDSS J125406.79+274856.6|193.52826 |  27.81573 |G|  6915| 0.023066 |SLS |19.7g|  0.000|0|0|15|2|1|4|1
78|WISEA J125407.28+271259.1|193.53035 |  27.21643 |G|  8168| 0.027244 |SLS |18.1g|  0.000|17|0|29|10|5|4|0
79|WISEA J125409.88+262606.7|193.54117 |  26.43512 |G|  6427| 0.021437 |SLS |19.46|  0.000|1|0|37|6|1|4|0
80|WISEA J125409.98+280532.9|193.54161 |  28.09250 |G|  6332| 0.021120 |SLS |15.2g|  0.000|43|0|48|22|16|6|0
81|SDSS J125410.12+272708.4|193.54218 |  27.45234 |G|  6900| 0.023016 |SUN |19.78|  0.000|6|0|18|8|1|4|0
82|SDSS J125410.56+284356.0|193.54401 |  28.73218 |G|  8275| 0.027601 |SLS?|22.5g|  0.000|0|0|22|4|1|4|0
83|WISEA J125411.30+270323.0|193.54731 |  27.05619 |G|  8023| 0.026762 |SLS |20.10|  0.000|1|0|15|4|1|0|0
84|WISEA J125411.50+274357.8|193.54804 |  27.73294 |G| 17362| 0.057913 |SLS |20.13|  0.000|1|0|27|4|1|4|0
85|WISEA J125411.71+270341.0|193.54877 |  27.06140 |G|  8548| 0.028513 |SLS |20.1g|  0.000|1|0|27|4|1|4|0
86|WISEA J125413.50+281638.6|193.55617 |  28.27732 |G|  6996| 0.023336 |SLS |19.96|  0.000|1|0|27|4|1|4|0
87|SDSS J125413.63+272755.0|193.55678 |  27.46529 |G| 17568| 0.058602 |SLS |20.88|  0.000|1|0|19|4|1|4|0
88|WISEA J125415.85+274610.7|193.56605 |  27.76970 |G| 17372| 0.057947 |SLS |19.75|  0.000|1|0|27|4|1|4|1
89|NGC 4788|193.56676 |  27.30375 |G|  6438| 0.021475 |SLS |15.3 |  0.000|67|0|41|25|18|3|0
90|2MFGC 10192|193.56986 |  28.07658 |G|  6838| 0.022809 |SLS |16.4g|  0.000|40|0|34|24|17|6|1
91|WISEA J125417.94+282304.0|193.57479 |  28.38450 |G| 17216| 0.057426 |SLS |20.38|  0.000|1|0|31|5|1|4|0
92|SDSS J125418.72+265324.9|193.57799 |  26.89029 |G|  6665| 0.022232 |SLS?|20.66|  0.000|1|0|18|4|1|4|0
93|NGC 4789|193.57925 |  27.06808 |G|  8338| 0.027812 |SLS |13.12|  0.000|164|5|85|35|24|10|0
94|2MASX J12541954+2805281|193.58139 |  28.09128 |G|  6743| 0.022492 |SLS |16.54|  0.000|35|0|34|25|18|6|0
95|WISEA J125422.27+270502.9|193.59283 |  27.08416 |G|  8459| 0.028215 |SLS |16.1g|  0.000|33|0|29|21|16|2|0
96|WISEA J125422.36+282225.2|193.59302 |  28.37366 |G|  7668| 0.025578 |SLS |19.83|  0.000|1|0|31|5|1|4|0
97|WISEA J125422.73+274440.1|193.59471 |  27.74448 |G|  7127| 0.023774 |SLS |17.2g|  0.000|28|0|42|18|12|6|0
98|WISEA J125422.89+264757.9|193.59539 |  26.79942 |G|  6771| 0.022586 |SLS |18.13|  0.000|28|0|48|21|12|6|0
99|WISEA J125424.74+272150.3|193.60308 |  27.36399 |G|  7826| 0.026105 |SLS |16.8g|  0.000|37|0|51|23|16|6|0
100|SDSS J125427.03+284149.5|193.61261 |  28.69719 |G| 14863| 0.049577 |SLS |20.8g|  0.000|0|0|23|4|1|4|0
101|WISEA J125427.40+272521.2|193.61406 |  27.42271 |G|  7949| 0.026515 |SLS |20.87|  0.000|1|0|27|4|1|4|0
102|WISEA J125429.16+271733.8|193.62159 |  27.29273 |G|  7749| 0.025847 |SLS |18.7g|  0.000|1|0|27|4|1|4|0
103|WISEA J125429.55+284644.1|193.62315 |  28.77893 |G| 13084| 0.043642 |SLS |17.4g|  0.000|14|0|72|11|5|10|0
104|WISEA J125430.15+290755.3|193.62590 |  29.13211 |G|  9296| 0.031008 |SLS |19.0g|  0.000|0|0|35|5|1|4|0
105|SDSS J125430.85+275657.7|193.62864 |  27.94932 |G| 12195| 0.040677 |SLS |20.6g|  0.000|0|0|19|3|1|4|0
106|SDSS J125431.17+273844.6|193.62986 |  27.64573 |G|  8366| 0.027906 |SLS |20.31|  0.000|1|0|15|3|1|4|0
107|WISEA J125432.50+274600.8|193.63554 |  27.76681 |G|  7677| 0.025609 |SLS |20.19|  0.000|1|0|27|4|1|4|0
108|CGCG 159-114|193.63731 |  28.37680 |G|  7002| 0.023356 |SLS |14.9g|  0.000|68|0|57|28|23|10|0
109|WISEA J125433.10+273415.1|193.63786 |  27.57085 |G|  7179| 0.023946 |SLS |19.05|  0.000|1|0|12|4|1|0|1
110|2MFGC 10196|193.63833 |  27.63269 |G|  7311| 0.024387 |SLS |15.6g|  0.000|48|0|52|32|25|6|0
111|SMDG J1254345+274046|193.64375 |  27.67944 |G|  6900| 0.023016 |SUN |     |  0.000|5|0|0|5|1|0|0
112|WISEA J125435.44+264504.9|193.64769 |  26.75136 |G|  8021| 0.026755 |SLS |17.8g|  0.000|24|0|29|16|11|4|0
113|WISEA J125435.44+283902.3|193.64779 |  28.65054 |G| 11091| 0.036995 |SLS |19.65|  0.000|2|0|37|7|1|4|0
114|WISEA J125436.15+273152.8|193.65043 |  27.53127 |G|  5448| 0.018171 |SLS |20.89|  0.000|1|0|27|4|1|4|0
115|WISEA J125436.75+285548.9|193.65314 |  28.93026 |G|  2338| 0.007800 |SUN |18.90|  0.000|7|1|36|5|2|0|0
116|CGCG 159-115|193.65342 |  26.93513 |G|  5929| 0.019778 |SLS |15.6 |  0.000|46|0|49|18|11|8|0
117|WISEA J125437.04+271903.0|193.65436 |  27.31753 |G|  7486| 0.024971 |SLS |18.2g|  0.000|18|0|18|11|6|0|0
