Object Name,RA,DEC,Redshift z,Heliocentric Velocity,Magnitude,Associations
NGC 4789,193.57925,27.06808,0.027812,8338,13.12,0
NGC 4842A,194.39939,27.49325,0.024387,7311,13.42,1
NGC 4911,195.23365,27.79085,0.026592,7972,13.55,0
NGC 4957,196.30162,27.56977,0.023052,6911,14.01,0
NGC 4819,194.11604,26.98743,0.02148,6440,14.1,0
WISEA J125337.87+274703.4,193.40781,27.78429,0.017084,5122,14.21,0
KUG 1301+277,196.04686,27.49044,0.017775,5329,14.67,0
KUG 1258+279B,195.24328,27.65213,0.017374,5209,14.8,0
KUG 1254+274,194.14434,27.22761,0.02398,7189,14.87,0
WISEA J125837.29+271035.6,194.65538,27.17657,0.025612,7678,14.89,1
UGC 08080,194.50993,26.85952,0.024524,7352,14.96,0
NGC 4922 NED01,195.35215,29.30842,0.023874,7157,15,0
CGCG 160-084,195.1215,26.67537,0.024039,7207,15.1,0
KUG 1302+275,196.11,27.30518,0.018369,5507,15.14,0
WISEA J130611.07+274200.5,196.54615,27.70017,0.022369,6706,15.2,0
NGC 4788,193.56676,27.30375,0.021475,6438,15.3,0
2MASX J13000626+2746332,195.02608,27.77589,0.020608,6178,15.32,0
IC 4040,195.15811,28.05741,0.025778,7728,15.36,0
IC 4133,195.96164,27.98837,0.021225,6363,15.37,0
CGCG 160-045,194.42932,26.85239,0.021241,6368,15.4,0
WISEA J125939.66+275714.2,194.91526,27.95395,0.026782,8029,15.4,0
2MASX J13055306+2733067,196.47106,27.55203,0.018781,5630,15.4,0
2MASX J13023273+2717443,195.63646,27.29555,0.025386,7611,15.47,0
CGCG 160-049,194.45275,28.18041,0.024184,7250,15.48,0
2MASX J13020552+2717499,195.52299,27.29726,0.024268,7275,15.57,0
WISEA J130106.19+272352.3,195.27583,27.39788,0.02709,8121,15.6,0
CGCG 160-047,194.44726,27.83325,0.020222,6062,15.7,0
CGCG 160-093,195.29462,27.80292,0.022319,6691,15.7,0
WISEA J130109.04+282135.2,195.28768,28.3598,0.023035,6906,15.76,0
WISEA J130412.88+281136.9,196.05369,28.1936,0.021446,6429,15.76,0
IC 3957,194.78125,27.76779,0.021218,6361,15.8,0
WISEA J130038.74+280052.5,195.16146,28.01459,0.025351,7600,15.8,0
NGC 4926B,195.50434,27.65296,0.023646,7089,15.86,0
WISEA J125937.34+272009.7,194.90561,27.33603,0.023256,6972,15.94,0
2MFGC 10330,195.30122,27.60445,0.02519,7552,15.96,0
WISEA J125721.74+275249.5,194.34059,27.88043,0.024807,7437,15.99,0
NGC 4898B,195.0754,27.95654,0.02127,6377,16,3
IC 4111,195.73557,28.07037,0.025885,7760,16.04,0
WISEA J125337.39+273654.5,193.4058,27.61515,0.023596,7074,16.08,0
[KK90] 216,195.64512,27.94879,0.019277,5779,16.1,1
IC 4033,195.1183,27.97241,0.025734,7715,16.21,1
WISEA J130325.32+280050.3,195.85554,28.01398,0.02654,7956,16.27,0
WISEA J130407.95+275753.8,196.03316,27.96495,0.019815,5940,16.3,0
SDSS J130234.78+275656.7,195.645,27.9491,0.01928,5780,16.31,1
ComaCC 494,195.05167,27.78167,0.023323,6992,16.33,1
III Zw 069,195.65563,27.17613,0.018362,5505,16.33,0
IC 4106,195.66009,28.11452,0.024903,7466,16.34,0
WISEA J130214.33+280605.6,195.55972,28.10156,0.019837,5947,16.39,0
WISEA J130322.78+275609.4,195.84494,27.93596,0.020094,6024,16.41,0
IC 4030,195.11652,27.95598,0.023359,7003,16.42,0
2MASX J13003334+2749266,195.13902,27.82422,0.027346,8198,16.43,0
2MASS J12550919+2712200,193.78833,27.20557,0.026328,7893,16.5,0
WISEA J125937.83+274636.4,194.90765,27.77679,0.02269,6802,16.52,0
WISEA J130018.62+274855.7,195.0776,27.8155,0.017889,5363,16.52,0
2MASX J12541954+2805281,193.58139,28.09128,0.022492,6743,16.54,0
I Zw 051,196.45355,28.10655,0.024407,7317,16.55,0
2MASX J12560151+2802175,194.00648,28.03836,0.019794,5934,16.6,0
2MASX J12560642+2738530,194.02687,27.64802,0.02536,7603,16.63,0
2MASX J13001877+2756135,195.07825,27.93704,0.017616,5281,16.66,1
2MASX J13004459+2806026,195.18596,28.10059,0.022009,6598,16.69,0
WISEA J130305.17+274702.5,195.77156,27.78405,0.025581,7669,16.69,0
WISEA J125921.41+275824.7,194.83921,27.97355,0.020081,6020,16.7,0
WISEA J130313.66+272208.6,195.80695,27.36907,0.021268,6376,16.77,0
2MASX J13011519+2740091,195.31326,27.66917,0.023556,7062,16.79,0
WISEA J125626.29+274338.1,194.10958,27.72728,0.022762,6824,16.82,0
WISEA J130054.77+275031.3,195.22822,27.84204,0.023623,7082,16.83,0
2MASX J12560958+2818390,194.03976,28.31088,0.02639,7912,16.85,0
SDSS J125839.93+264534.2,194.66605,26.75941,0.024864,7454,16.86,0
SDSS J125955.07+282013.1,194.97944,28.33699,0.026494,7943,16.88,0
WISEA J130159.53+290853.8,195.4981,29.14824,0.023134,6935,16.9,0
WISEA J130144.18+281251.7,195.43408,28.21437,0.0261,7825,16.91,1
WISEA J125559.94+281112.9,193.99977,28.18694,0.018664,5595,16.92,0
WISEA J130321.55+281832.4,195.83982,28.30902,0.01843,5525,16.94,0
2MASX J13050844+2730463,196.28527,27.51283,0.023877,7158,16.94,0
WISEA J125645.87+280305.8,194.19116,28.05162,0.02308,6919,17,0
ComaCC 562,195.21208,27.74292,0.027125,8132,17.04,1
WISEA J125753.13+274226.2,194.4714,27.70728,0.021512,6449,17.14,0
2MASX J12580926+2639505,194.53849,26.66426,0.024329,7294,17.14,0
WISEA J125909.47+280227.2,194.78947,28.04091,0.024043,7208,17.15,0
WISEA J130136.51+274228.6,195.40215,27.70796,0.026388,7911,17.15,0
WISEA J125927.30+274706.0,194.86375,27.78502,0.02195,6580,17.16,1
WISEA J130013.63+275201.8,195.05682,27.86719,0.02468,7399,17.16,0
WISEA J130331.23+280532.3,195.88014,28.09232,0.021115,6330,17.16,0
WISEA J130449.37+281610.1,196.20573,28.26948,0.022716,6810,17.16,0
WISEA J125817.40+280224.1,194.57251,28.04004,0.020651,6191,17.19,0
WISEA J130139.08+281445.3,195.41286,28.24592,0.02534,7597,17.27,0
2MASX J13035047+2803159,195.96041,28.05438,0.020978,6289,17.27,0
WISEA J130119.33+275137.9,195.33056,27.86053,0.027424,8222,17.28,0
WISEA J130119.06+280741.3,195.32945,28.12816,0.022709,6808,17.29,0
WISEA J130619.35+280309.8,196.58063,28.05273,0.024083,7220,17.3,0
WISEA J125832.32+282241.0,194.63468,28.37807,0.019625,5883,17.32,0
WISEA J130104.82+275330.2,195.2701,27.89174,0.01936,5804,17.33,0
WISEA J125643.19+264431.1,194.17999,26.74197,0.023173,6947,17.36,0
WISEA J125718.27+274450.7,194.32614,27.74742,0.022874,6857,17.37,0
WISEA J125959.47+275626.1,194.99744,27.94012,0.020371,6107,17.37,0
WISEA J125628.45+280457.1,194.11858,28.08253,0.023266,6975,17.38,0
WISEA J130133.83+275440.1,195.39098,27.91116,0.021985,6591,17.38,0
WISEA J125750.56+273837.5,194.46069,27.64377,0.022765,6825,17.39,0
B2 1256+28A,194.72326,28.28902,0.026165,7844,17.43,0
WISEA J130055.93+275354.8,195.23305,27.89858,0.020031,6005,17.46,0
WISEA J130312.63+281020.9,195.80264,28.1725,0.024305,7286,17.53,0
WISEA J125456.75+280734.5,193.73647,28.12627,0.021028,6304,17.54,0
2MASX J13013085+2833237,195.37861,28.55667,0.022955,6882,17.63,1
WISEA J125344.07+274651.0,193.43365,27.78085,0.022179,6649,17.66,0
WISEA J130404.77+275101.9,196.01989,27.85053,0.021285,6381,17.68,0
WISEA J130031.30+285701.8,195.13044,28.95052,0.023,6895,17.72,1
2MASX J12534657+2723099,193.44425,27.38585,0.027662,8293,17.73,0
WISEA J130110.74+271447.2,195.29478,27.24647,0.020656,6193,17.74,0
WISEA J125807.07+264713.5,194.52947,26.7871,0.024016,7200,17.77,0
WISEA J130346.28+275912.9,195.94286,27.98692,0.020608,6178,17.8,0
WISEA J130436.90+281501.7,196.15377,28.25049,0.018743,5619,17.85,0
WISEA J125544.27+274259.7,193.93449,27.71659,0.02388,7159,17.87,0
WISEA J130235.62+263944.1,195.64846,26.66225,0.024654,7391,17.88,0
WISEA J125307.54+281427.8,193.28142,28.24108,0.023455,7032,17.9,0
WISEA J125937.20+275213.5,194.90508,27.87052,0.021185,6351,17.9,0
WISEA J125636.01+265416.9,194.15007,26.90472,0.026332,7894,17.91,0
GALEXASC J125845.78+284133.6,194.69049,28.69289,0.02286,6853,17.97,3
WISEA J130011.14+280354.8,195.04645,28.06525,0.024544,7358,18.05,0
WISEA J125526.62+273614.3,193.86093,27.60399,0.022638,6787,18.06,0
WISEA J130109.70+290356.2,195.29042,29.06563,0.0279,8364,18.06,0
WISEA J125743.63+290011.7,194.43183,29.00333,0.023134,6935,18.09,1
WISEA J130350.42+281043.4,195.9601,28.17872,0.021291,6383,18.15,0
WISEA J130416.47+273023.0,196.06866,27.50641,0.023533,7055,18.15,0
SDSS J130120.07+265312.2,195.3337,26.8868,0.026942,8077,18.16,2
WISEA J130147.97+272117.0,195.4499,27.35473,0.020197,6055,18.16,0
WISEA J130333.69+281421.9,195.89041,28.23942,0.027406,8216,18.17,0
WISEA J130232.55+272336.3,195.63566,27.39343,0.01821,5459,18.2,0
WISEA J125441.63+270229.0,193.67347,27.04141,0.023633,7085,18.21,0
WISEA J125536.94+265441.7,193.90392,26.9116,0.01978,5930,18.21,0
ComaCC 730,196.27715,28.64126,0.018245,5470,18.21,1
WISEA J125931.59+280601.8,194.88166,28.10053,0.024777,7428,18.22,0
WISEA J130013.45+280311.6,195.05601,28.05329,0.027025,8102,18.23,0
WISEA J125706.54+281747.8,194.27726,28.29663,0.02257,6766,18.25,0
WISEA J125916.39+274618.8,194.8183,27.77177,0.021182,6350,18.27,0
WISEA J125820.26+265514.0,194.58442,26.92057,0.023093,6923,18.29,0
WISEA J125924.57+273102.4,194.85241,27.51733,0.019681,5900,18.31,0
WISEA J130323.44+271824.8,195.84769,27.3069,0.018571,5567,18.31,0
WISEA J125606.88+271957.2,194.02879,27.33254,0.026919,8070,18.32,0
WISEA J125734.68+271837.2,194.39453,27.31034,0.02487,7456,18.33,0
WISEA J130443.34+281505.6,196.18061,28.25157,0.021902,6566,18.33,0
WISEA J125723.56+273259.9,194.34819,27.54998,0.02014,6038,18.35,0
WISEA J125944.69+275323.1,194.93622,27.88978,0.022706,6807,18.35,0
WISEA J130335.96+281001.0,195.89987,28.16695,0.022025,6603,18.35,0
WISEA J125730.59+273234.9,194.37746,27.54304,0.025521,7651,18.36,0
WISEA J130032.47+281521.7,195.13532,28.25605,0.020954,6282,18.38,0
WISEA J130106.80+264834.1,195.27837,26.80947,0.022926,6873,18.38,0
WISEA J130113.66+280459.1,195.30695,28.08309,0.019429,5825,18.4,0
2MASS J12552089+2740090,193.83721,27.66916,0.023799,7135,18.41,0
WISEA J130209.37+273521.6,195.53905,27.58935,0.02153,6455,18.45,0
ABELL 1656:[GMP83] 3336,194.89665,27.90562,0.023196,6954,18.47,1
WISEA J130030.20+280936.3,195.12584,28.16009,0.023609,7078,18.48,0
WISEA J125845.54+274513.7,194.68976,27.75381,0.022137,6637,18.49,0
WISEA J125933.26+280151.9,194.88852,28.03129,0.0237,7105,18.49,0
WISEA J125620.36+280302.6,194.08485,28.05073,0.025368,7605,18.51,0
WISEA J130609.58+280352.8,196.53992,28.06467,0.025718,7710,18.51,0
WISEA J130156.00+281720.2,195.48338,28.28892,0.024759,7423,18.52,0
WISEA J125604.23+271707.8,194.01763,27.28552,0.022366,6705,18.54,0
WISEA J125944.15+281034.6,194.93396,28.17628,0.027709,8307,18.54,0
GALEXASC J130331.11+284126.0,195.87951,28.69043,0.02247,6736,18.59,0
WISEA J125848.15+280107.7,194.70065,28.01882,0.023707,7107,18.6,0
COMAi J130027.569+280322.85,195.11485,28.05634,0.0193,5786,18.6,2
WISEA J125519.11+275529.9,193.82964,27.925,0.021503,6446,18.62,0
WISEA J125745.29+275421.5,194.43877,27.90598,0.027022,8101,18.62,1
WISEA J125725.32+284423.3,194.3555,28.73986,0.021747,6520,18.63,0
COMAi J125953.929+275813.75,194.97475,27.97051,0.022482,6740,18.63,3
WISEA J130441.68+281339.1,196.17369,28.22753,0.024055,7212,18.64,0
SDSS J125850.76+275944.1,194.7115,27.9956,0.02235,6700,18.66,0
WISEA J130007.48+275729.6,195.03119,27.95822,0.020714,6210,18.66,0
WISEA J130117.85+280549.3,195.32441,28.09704,0.026791,8032,18.66,0
WISEA J130137.33+280056.7,195.40554,28.01578,0.023833,7145,18.66,0
WISEA J130017.63+275915.1,195.07353,27.98755,0.020026,6004,18.7,2
WISEA J130143.29+281752.1,195.43038,28.29782,0.025658,7692,18.7,0
